Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Christian Eriksen,DEN,Manchester Utd,MF,33,19,11,993,0,1,4,0,0.3,2.6,10,49,28,0.0,0.09,0.02,0.24,N/a,N/a,N/a,N/a,12.5,0.09,0.00,26.2,543,79.5,2809,92.2,80.0,49.1,22,53,8,2,49,43,3.89,6,0.54,19,9,24,13,13,4,9,7,771,24,160,375,240,12,3,0.0,100.0,421,662,10,10,0,11,5,511,28,8,3,0,74,59,2,5,28.6,0
Hákon Rafn Valdimarsson,ISL,Brentford,GK,23,2,1,145,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.24,50.0,100.0,N/a,N/a,0.0,N/a,N/a,46,65.7,1110,100.0,100.0,41.5,0,2,0,0,0,2,1.24,0,0.0,0,0,0,0,0,0,0,0,72,60,71,1,0,0,0,N/a,N/a,44,80,0,0,0,0,0,36,0,0,0,0,0,1,1,0,100.0,0
Ian Maatsen,NED,Aston Villa,DF,23,25,7,887,1,2,2,0,0.7,2.7,26,39,84,0.1,0.2,0.08,0.27,N/a,N/a,N/a,N/a,31.3,0.51,0.06,22.7,507,81.8,2117,88.5,85.9,53.5,18,20,15,3,39,49,4.97,7,0.71,25,13,20,6,10,0,10,15,756,42,200,278,286,40,20,50.0,50.0,404,974,26,15,11,18,20,463,84,9,8,3,47,54,8,5,61.5,0
Ibrahim Sangaré,CIV,Nott'ham Forest,MF,27,8,3,279,0,1,2,0,0.0,0.4,0,12,2,0.0,0.32,0.01,0.11,N/a,N/a,N/a,N/a,100.0,0.32,0.00,32.0,117,78.5,531,88.8,80.9,54.5,3,9,2,0,12,5,1.61,0,0.0,18,10,10,6,5,0,5,2,193,8,44,123,28,7,1,0.0,100.0,75,83,0,2,0,4,1,101,2,8,5,0,0,22,5,7,41.7,0
Chiedozie Ogbene,IRL,Ipswich Town,FW,27,5,3,238,0,0,0,0,0.0,0.1,7,0,15,0.0,0.0,0.0,0.03,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,32,74.4,27,83.3,80.0,100.0,2,0,0,0,0,3,1.13,0,0.0,7,3,4,2,1,0,1,1,70,3,11,19,40,6,7,14.3,42.9,41,139,7,2,2,4,2,43,15,2,7,1,4,6,1,6,14.3,0
Chris Richards,USA,Crystal Palace,DF,25,20,18,1562,1,0,4,1,1.2,0.1,5,34,1,0.06,0.0,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.10,11.8,583,81.1,3673,89.2,90.3,44.2,2,20,0,0,34,7,0.4,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,16.7,83.3,433,850,5,5,0,5,5,525,1,11,4,1,1,48,33,35,48.5,0
Aaron Ramsdale,ENG,Southampton,GK,26,26,26,2340,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,N/a,0.0,N/a,N/a,691,64.5,15078,99.5,96.0,38.8,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1154,835,1133,24,0,0,0,N/a,N/a,702,2089,0,0,0,2,0,629,0,1,4,0,0,19,5,0,100.0,0
Alphonse Areola,FRA,West Ham,GK,32,23,22,1990,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.72,63.1,18.2,N/a,N/a,0.0,N/a,N/a,616,70.5,11205,99.2,95.3,43.5,0,9,0,0,0,3,0.14,0,0.0,2,2,3,1,0,0,0,0,928,742,919,10,0,0,0,N/a,N/a,522,1172,0,0,0,0,0,480,0,0,0,0,0,27,2,0,100.0,0
Christopher Nkunku,FRA,Chelsea,FW,27,27,9,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,299,89.5,760,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1,0
Adam Webster,ENG,Brighton,DF,30,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,3140,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0,0
Conor Chaplin,ENG,Ipswich Town,"MF,FW",28,18,7,645,1,1,1,0,1.2,0.6,10,25,20,0.14,0.14,0.16,0.09,N/a,N/a,N/a,N/a,25.0,0.42,0.08,18.3,173,73.3,699,83.5,78.4,33.3,6,17,7,2,25,19,2.66,1,0.14,12,5,13,7,9,2,7,3,293,7,49,146,103,12,6,50.0,50.0,138,380,10,7,0,9,3,196,20,10,5,0,9,23,2,8,20.0,0
Craig Dawson,ENG,Wolves,DF,34,15,10,971,0,0,2,0,0.5,0.0,6,20,5,0.0,0.0,0.05,0.0,N/a,N/a,N/a,N/a,20.0,0.09,0.00,8.5,484,86.6,3180,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6,0
Alisson,BRA,Liverpool,GK,32,23,23,2058,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.03,0.83,72.1,39.1,N/a,N/a,0.0,N/a,N/a,590,82.4,8631,98.9,98.4,46.8,1,10,0,0,0,6,0.26,1,0.04,1,0,1,1,0,0,0,0,758,551,743,15,0,0,1,100.0,0.0,484,1136,0,0,0,1,0,454,0,0,2,0,0,41,6,0,100.0,0
Fabio Carvalho,POR,Brentford,"FW,MF",22,19,3,455,2,1,1,0,2.5,0.7,9,17,23,0.4,0.2,0.49,0.13,N/a,N/a,N/a,N/a,41.7,0.99,0.17,14.7,126,70.8,442,83.0,71.1,38.9,4,11,5,1,17,10,1.97,1,0.2,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,145,23,5,10,1,10,30,2,6,25.0,0
Ali Al Hamadi,IRQ,Ipswich Town,FW,23,11,0,134,0,0,3,0,0.4,0.1,4,3,14,0.0,0.0,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.7,25,83.3,29,87.0,71.4,N/a,2,0,0,0,3,8,5.37,0,0.0,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7,0
Conor Townsend,ENG,Ipswich Town,DF,32,6,3,335,0,1,1,0,0.0,0.7,2,8,13,0.0,0.27,0.01,0.18,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.7,80,63.0,756,82.1,74.5,29.2,4,7,2,2,8,5,1.34,1,0.27,11,8,11,3,8,6,2,4,172,28,87,50,38,5,0,N/a,N/a,53,136,2,2,0,2,2,75,13,2,4,0,12,8,6,4,60.0,0
Conor Coady,ENG,Leicester City,DF,32,18,15,1354,0,0,2,0,0.1,0.1,2,28,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,100.0,0.07,0.00,9.2,759,90.6,4917,96.7,96.7,52.3,1,31,2,0,28,4,0.27,0,0.0,11,8,4,2,26,19,7,12,954,184,518,420,17,6,3,66.7,33.3,632,1396,2,3,1,4,2,701,0,7,2,1,0,46,13,16,44.8,0
Ferdi Kadioglu,TUR,Brighton,"DF,MF",25,6,5,385,1,0,1,0,0.4,0.2,1,15,27,0.23,0.0,0.1,0.04,N/a,N/a,N/a,N/a,25.0,0.23,0.25,15.1,144,82.3,698,89.0,82.4,64.3,5,10,9,4,15,13,3.03,2,0.47,10,6,15,9,2,2,0,8,231,13,71,91,72,9,7,42.9,42.9,124,183,1,0,0,6,2,144,27,5,3,1,9,14,3,1,75.0,0
Filip Jørgensen,DEN,Chelsea,GK,23,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.50,71.4,16.7,0.0,N/a,0.0,N/a,N/a,158,83.6,1649,100.0,97.5,27.5,0,1,0,0,0,1,0.17,0,0.0,0,0,0,0,0,0,0,0,202,174,201,1,0,0,0,N/a,N/a,145,423,0,0,0,0,0,139,0,1,1,0,0,5,0,0,N/a,0
Carlos Alcaraz,ARG,Everton,"FW,MF",22,11,4,491,1,1,3,0,1.3,1.3,14,27,10,0.18,0.18,0.24,0.23,N/a,N/a,N/a,N/a,31.6,1.1,0.05,20.4,147,76.6,703,85.1,86.5,57.7,10,12,15,2,27,23,4.22,2,0.37,11,5,9,6,5,1,4,3,264,10,47,111,112,14,14,64.3,28.6,145,502,14,15,2,11,10,169,10,9,6,1,9,24,10,6,62.5,0
Alex Scott,ENG,Bournemouth,MF,21,16,6,612,0,0,2,0,0.7,0.8,12,48,31,0.0,0.0,0.1,0.12,N/a,N/a,N/a,N/a,38.5,0.74,0.00,20.0,233,84.1,1167,89.3,91.3,61.5,9,35,4,0,48,25,3.67,2,0.29,25,12,32,15,14,3,11,9,402,18,71,219,117,16,24,20.8,50.0,219,530,12,6,1,20,8,247,31,9,24,0,3,45,5,6,45.5,0
George Hirst,SCO,Ipswich Town,FW,26,22,3,470,2,1,1,0,1.3,0.3,9,12,27,0.38,0.19,0.25,0.05,N/a,N/a,N/a,N/a,44.4,0.77,0.22,12.0,53,53.5,177,64.9,47.8,50.0,3,1,4,0,12,7,1.33,3,0.57,3,3,3,2,1,1,0,2,156,10,22,54,82,21,5,40.0,40.0,88,198,9,2,6,21,13,134,27,11,9,2,3,8,30,19,61.2,0
Alex Palmer,ENG,Ipswich Town,GK,28,10,10,900,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.50,60.0,0.0,0.0,N/a,0.0,N/a,N/a,207,65.5,4920,95.3,100.0,43.1,1,6,0,0,1,2,0.2,0,0.0,0,0,0,0,0,0,0,0,359,300,353,7,0,0,0,N/a,N/a,158,558,0,0,0,1,0,113,0,1,2,0,0,14,3,0,100.0,0
Darwin Núñez,URU,Liverpool,FW,25,25,8,1010,5,2,8,0,5.0,1.2,20,25,67,0.45,0.18,0.44,0.11,N/a,N/a,N/a,N/a,38.7,1.07,0.16,14.3,144,70.2,526,80.4,72.9,66.7,9,9,2,0,25,24,2.13,4,0.36,18,15,15,10,6,0,6,3,326,10,43,110,183,60,21,38.1,57.1,175,492,20,16,10,21,17,216,67,26,14,11,2,37,15,29,34.1,0
Fraser Forster,ENG,Tottenham,GK,37,7,7,630,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.14,69.0,14.3,0.0,N/a,0.0,N/a,N/a,168,84.8,2105,98.2,95.6,48.9,0,1,0,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,228,212,228,0,0,0,1,100.0,0.0,113,264,0,0,0,1,0,94,0,0,0,0,0,1,1,0,100.0,0
Carlos Soler,ESP,West Ham,"MF,FW",28,28,14,1347,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,530,85.1,2216,94.4,85.7,53.7,14,41,11,0,52,46,3.08,2,0.13,13,10,22,16,19,6,13,8,738,26,172,384,187,22,18,44.4,50.0,338,714,16,16,4,11,14,502,33,24,17,0,31,63,9,11,45.0,0
Albert Grønbaek,DEN,Southampton,"FW,MF",23,4,2,143,0,0,0,0,0.1,0.0,1,1,3,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.4,13,72.2,43,81.8,50.0,N/a,1,2,0,0,1,2,1.26,0,0.0,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0,0
Carlos Forbs,POR,Wolves,"MF,FW",21,10,1,239,0,0,2,0,0.1,0.0,10,8,28,0.0,0.0,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.1,60,65.9,228,76.5,73.1,20.0,1,2,3,1,8,5,1.89,1,0.38,8,5,6,2,3,0,3,1,121,3,23,39,60,13,12,58.3,41.7,75,322,10,3,8,7,4,85,28,2,1,0,9,11,1,3,25.0,0
Conor Bradley,NIR,Liverpool,DF,21,15,4,533,0,1,3,0,0.6,0.5,26,25,27,0.0,0.17,0.1,0.08,N/a,N/a,N/a,N/a,33.3,0.51,0.00,14.3,358,83.8,1376,91.6,88.2,35.5,5,20,3,1,25,16,2.71,2,0.34,11,8,16,8,4,0,4,3,511,17,142,238,140,33,16,37.5,56.3,282,1012,26,17,7,8,2,322,27,8,10,0,5,34,7,6,53.8,0
Alex McCarthy,ENG,Southampton,GK,35,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.60,70.3,0.0,0.0,N/a,0.0,N/a,N/a,117,75.0,1985,95.3,91.8,49.2,0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0,0
Gabriel Jesus,BRA,Arsenal,FW,28,17,6,608,3,0,4,0,3.0,0.7,15,19,57,0.44,0.0,0.44,0.1,N/a,N/a,N/a,N/a,35.0,1.04,0.15,11.1,156,76.8,378,80.5,87.2,66.7,8,10,9,1,19,18,2.66,4,0.59,10,6,9,5,10,1,9,4,299,9,28,108,165,48,22,40.9,45.5,179,432,15,6,11,13,13,217,57,14,10,9,7,28,9,18,33.3,0
Nélson Semedo,POR,Wolves,DF,31,30,29,2576,0,4,7,0,0.8,2.7,61,68,107,0.0,0.14,0.03,0.1,N/a,N/a,N/a,N/a,40.0,0.21,0.00,24.2,961,80.1,4343,90.9,82.8,47.0,21,62,25,11,68,51,1.78,6,0.21,55,31,49,21,27,10,17,22,1520,113,433,694,411,23,62,45.2,41.9,780,2306,61,36,9,37,19,872,107,43,27,3,57,116,27,40,40.3,1
Pape Matar Sarr,SEN,Tottenham,MF,22,31,18,1591,3,2,6,0,3.3,1.5,29,79,50,0.17,0.11,0.18,0.09,N/a,N/a,N/a,N/a,40.0,0.68,0.10,21.4,808,87.3,2883,91.2,90.3,75.4,14,82,10,2,79,40,2.26,6,0.34,42,30,22,11,21,7,14,24,1110,32,231,623,274,26,25,44.0,48.0,713,1736,29,31,5,25,21,798,50,27,30,2,13,104,23,36,39.0,1
Calvin Bassey,NGA,Fulham,DF,25,32,31,2804,1,0,6,0,1.0,0.1,34,104,13,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.13,0.07,15.4,1758,89.6,10728,94.9,94.0,60.3,2,135,2,0,104,22,0.71,3,0.1,51,32,28,8,37,17,20,18,2244,294,1099,1050,119,17,29,44.8,34.5,1443,4328,34,16,4,32,8,1558,13,24,30,2,6,155,40,31,56.3,1
Neco Williams,WAL,Nott'ham Forest,DF,24,30,23,2144,1,2,5,0,2.2,1.4,54,70,81,0.04,0.08,0.09,0.06,N/a,N/a,N/a,N/a,18.8,0.25,0.03,19.7,647,75.2,4000,89.4,72.1,40.5,14,50,17,7,70,40,1.68,5,0.21,73,44,68,25,37,8,29,24,1231,136,450,437,359,35,39,38.5,43.6,492,1685,54,26,14,23,15,570,81,20,34,1,40,84,34,25,57.6,1
Nikola Milenković,SRB,Nott'ham Forest,DF,27,32,32,2880,4,2,4,0,3.6,0.8,3,47,6,0.12,0.06,0.11,0.03,N/a,N/a,N/a,N/a,26.9,0.22,0.15,12.1,705,80.8,5260,86.9,87.1,60.4,7,47,2,0,47,18,0.56,3,0.09,42,26,27,6,38,22,16,24,1189,225,650,463,80,58,1,100.0,0.0,454,939,3,3,2,2,2,603,6,16,4,1,0,71,91,36,71.7,1
Ola Aina,NGA,Nott'ham Forest,DF,28,30,30,2569,2,1,2,0,0.6,0.7,54,91,52,0.07,0.04,0.02,0.03,N/a,N/a,N/a,N/a,22.2,0.07,0.22,24.8,839,73.3,5391,88.1,72.8,36.1,11,78,15,7,91,50,1.75,3,0.11,53,40,58,24,32,12,20,30,1462,138,539,610,338,21,64,45.3,37.5,629,2328,54,35,10,39,21,691,52,21,32,2,42,160,12,18,40.0,1
Pedro Porro,ESP,Tottenham,DF,25,31,26,2463,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,N/a,N/a,N/a,N/a,21.6,0.29,0.05,23.1,1324,73.5,9131,87.5,79.3,44.2,54,120,55,26,147,104,3.8,8,0.29,63,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,2677,63,40,5,23,17,1229,106,24,30,1,191,148,11,22,33.3,1
Carlos Baleba,CMR,Brighton,MF,21,30,27,2313,3,1,8,1,3.0,1.3,39,114,26,0.12,0.04,0.12,0.05,N/a,N/a,N/a,N/a,27.5,0.43,0.08,25.1,1018,87.7,4424,93.1,91.7,64.1,20,105,22,2,114,60,2.34,4,0.16,71,41,72,28,43,10,33,40,1506,83,360,895,291,11,51,58.8,35.3,851,2530,39,41,3,36,35,915,26,38,43,0,8,172,38,23,62.3,1
Nicolás Domínguez,ARG,Nott'ham Forest,"MF,FW",26,29,19,1624,0,1,8,0,1.4,1.3,12,63,24,0.0,0.06,0.08,0.07,N/a,N/a,N/a,N/a,38.9,0.39,0.00,19.0,686,87.1,2813,91.5,89.8,60.0,13,68,8,0,63,29,1.61,0,0.0,75,40,63,34,34,11,23,26,1020,68,260,533,236,24,8,37.5,37.5,378,750,12,10,2,18,9,554,24,29,15,1,2,99,20,19,51.3,1
Pervis Estupiñán,ECU,Brighton,DF,27,27,23,2132,1,1,5,0,1.0,2.1,55,113,105,0.04,0.04,0.04,0.09,N/a,N/a,N/a,N/a,31.8,0.3,0.05,25.0,1203,83.3,5608,93.4,83.3,50.3,24,93,31,18,113,51,2.15,4,0.17,54,36,44,15,16,2,14,30,1700,69,424,842,451,29,29,51.7,44.8,905,2321,55,54,9,30,25,1034,105,33,16,3,111,135,41,26,61.2,1
Pau Torres,ESP,Aston Villa,DF,28,20,20,1729,0,0,1,0,0.5,0.1,33,74,4,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,25.0,0.1,0.00,11.7,1032,88.3,6794,94.7,93.1,51.2,2,93,7,0,74,12,0.62,2,0.1,20,14,15,6,14,10,4,9,1293,209,626,595,78,15,17,88.2,11.8,803,3503,33,20,0,3,3,923,4,6,7,0,1,53,16,22,42.1,1
Casemiro,BRA,Manchester Utd,MF,33,21,15,1271,1,0,3,0,1.5,2.2,4,65,26,0.07,0.0,0.1,0.16,N/a,N/a,N/a,N/a,29.6,0.57,0.04,19.3,637,78.7,3279,86.3,83.9,60.9,19,64,19,6,65,48,3.4,3,0.21,74,43,64,25,33,10,23,12,1039,67,309,523,215,37,6,50.0,50.0,546,775,4,10,0,10,10,663,26,15,18,3,19,82,28,17,62.2,1
Noussair Mazraoui,MAR,Manchester Utd,DF,27,33,30,2565,0,1,2,0,0.6,1.3,36,102,47,0.0,0.04,0.02,0.05,N/a,N/a,N/a,N/a,25.0,0.11,0.00,20.8,1387,85.5,7412,91.4,89.2,54.3,17,116,18,5,102,48,1.68,1,0.04,100,59,84,34,32,8,24,33,1940,154,767,894,303,26,43,55.8,37.2,1070,2613,36,28,3,23,16,1175,47,37,21,3,20,137,46,27,63.0,1
Nathan Collins,IRL,Brentford,DF,23,33,33,2970,2,2,5,0,2.5,1.5,25,112,18,0.06,0.06,0.08,0.05,N/a,N/a,N/a,N/a,37.5,0.18,0.13,10.8,1501,85.8,9438,88.0,92.4,59.7,9,94,7,2,112,28,0.85,7,0.21,35,20,31,10,68,48,20,31,2139,341,1124,867,158,63,12,50.0,41.7,1125,3556,25,9,0,15,8,1303,18,24,25,6,7,145,103,57,64.4,1
Ibrahima Konaté,FRA,Liverpool,DF,25,27,26,2230,1,2,5,0,1.6,1.0,21,102,2,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,17.6,0.12,0.06,10.4,1513,90.5,9647,93.7,95.1,57.0,10,122,8,0,102,28,1.13,7,0.28,36,25,34,10,27,15,12,11,1917,207,818,999,106,21,4,50.0,25.0,1137,3020,21,13,0,8,2,1386,2,24,18,0,0,84,68,28,70.8,1
Boubacar Kamara,FRA,Aston Villa,MF,25,22,16,1373,0,0,2,0,0.4,0.9,16,72,5,0.0,0.0,0.02,0.06,N/a,N/a,N/a,N/a,14.3,0.07,0.00,21.1,674,89.2,3373,93.5,91.4,53.1,10,77,8,0,72,24,1.57,2,0.13,46,19,51,25,17,7,10,16,911,88,288,520,109,8,22,36.4,31.8,467,1082,16,11,1,9,11,610,5,23,26,0,1,67,16,21,43.2,1
Tyler Adams,USA,Bournemouth,MF,26,23,16,1530,0,3,6,0,1.6,0.8,12,61,7,0.0,0.18,0.09,0.05,N/a,N/a,N/a,N/a,25.0,0.12,0.00,16.1,674,83.1,2528,88.2,87.9,56.9,14,52,2,1,61,35,2.06,4,0.24,74,45,62,28,27,7,20,29,1041,46,270,601,182,15,16,18.8,56.3,491,1059,12,17,1,25,9,555,7,40,18,0,3,91,29,15,65.9,1
Alexis Mac Allister,ARG,Liverpool,MF,26,32,29,2471,4,4,6,0,2.7,4.4,32,169,75,0.15,0.15,0.1,0.16,N/a,N/a,N/a,N/a,34.3,0.44,0.11,18.2,1210,83.4,5475,89.9,88.4,56.0,41,116,34,2,169,115,4.19,14,0.51,88,54,92,43,58,5,53,21,1770,52,265,921,603,56,42,38.1,50.0,869,1887,32,39,3,29,22,1175,75,59,39,2,80,138,18,33,35.3,1
Tyrick Mitchell,ENG,Crystal Palace,DF,25,34,34,2852,0,4,2,0,1.2,5.6,56,62,160,0.0,0.13,0.04,0.18,N/a,N/a,N/a,N/a,18.2,0.06,0.00,13.4,904,72.2,5536,84.3,74.5,42.3,37,45,31,14,62,66,2.08,5,0.16,85,52,41,20,62,12,50,14,1614,104,560,615,452,42,31,41.9,48.4,742,1555,56,33,9,35,28,827,160,20,22,2,97,152,18,21,46.2,1
Valentino Livramento,ENG,Newcastle Utd,DF,22,33,28,2480,0,1,1,0,0.2,2.3,72,136,92,0.0,0.04,0.01,0.08,N/a,N/a,N/a,N/a,20.0,0.04,0.00,20.6,1228,85.0,5970,90.7,86.4,56.4,21,94,23,5,136,39,1.42,2,0.07,50,33,54,25,33,10,23,21,1728,105,553,796,404,32,48,43.8,41.7,896,2865,72,37,11,25,34,993,92,6,32,2,44,170,21,30,41.2,1
Victor Bernth Kristiansen,DEN,Leicester City,DF,22,28,28,2380,0,1,1,0,0.3,1.4,39,69,75,0.0,0.04,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.7,1007,77.6,5793,89.6,80.1,41.4,18,74,23,18,69,41,1.55,3,0.11,85,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,47.1,47.1,800,1806,39,25,5,13,12,872,75,17,17,3,96,97,19,42,31.1,1
Virgil van Dijk,NED,Liverpool,DF,33,33,33,2970,2,1,3,0,1.9,0.7,18,172,6,0.06,0.03,0.06,0.02,N/a,N/a,N/a,N/a,30.4,0.21,0.09,12.7,2371,91.5,17059,95.9,95.4,68.0,11,258,5,0,172,44,1.33,4,0.12,34,16,20,9,22,12,10,52,2915,383,1152,1624,147,44,5,60.0,40.0,1640,4329,18,20,3,8,5,1996,6,15,12,0,1,104,109,44,71.2,1
Vitaliy Mykolenko,UKR,Everton,DF,25,31,31,2722,0,1,2,0,0.4,1.6,31,102,84,0.0,0.03,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,20.5,874,74.3,6026,88.8,74.1,45.2,20,96,37,22,102,37,1.22,3,0.1,54,32,50,25,24,9,15,36,1489,112,471,641,388,26,20,40.0,45.0,609,1416,31,26,1,20,10,753,84,20,28,3,86,77,44,36,55.0,1
Vitaly Janelt,GER,Brentford,MF,26,32,27,2254,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,0.09,N/a,N/a,N/a,N/a,28.6,0.16,0.07,17.7,872,82.5,4279,90.6,85.4,55.9,14,78,23,7,80,32,1.28,3,0.12,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25.0,58.3,652,1278,17,18,3,16,10,814,38,24,15,1,30,107,19,11,63.3,1
Trent Alexander-Arnold,ENG,Liverpool,DF,26,29,26,2165,3,6,5,0,1.6,6.7,48,204,87,0.12,0.25,0.07,0.28,N/a,N/a,N/a,N/a,20.5,0.33,0.08,23.4,1325,73.7,10467,89.9,76.0,49.9,50,189,62,20,204,92,3.82,10,0.42,68,48,100,53,25,8,17,30,2059,82,549,913,611,40,29,44.8,48.3,1083,2686,48,35,8,19,15,1307,87,9,7,1,142,122,3,12,20.0,1
Wilfred Ndidi,NGA,Leicester City,MF,28,25,25,2057,0,4,8,0,1.8,1.8,16,64,73,0.0,0.18,0.08,0.08,N/a,N/a,N/a,N/a,40.0,0.35,0.00,14.5,715,79.3,2633,86.7,80.3,51.6,15,61,10,3,64,26,1.14,3,0.13,77,46,50,26,45,19,26,23,1223,112,407,589,238,58,30,40.0,53.3,575,977,16,21,2,34,33,716,73,38,17,3,30,114,53,51,51.0,1
Adam Wharton,ENG,Crystal Palace,MF,20,19,15,1258,0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.8,521,75.6,3632,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4,1
William Saliba,FRA,Arsenal,DF,24,32,32,2814,2,0,2,1,2.3,0.9,16,134,6,0.06,0.0,0.07,0.03,N/a,N/a,N/a,N/a,33.3,0.06,0.33,5.4,2273,94.2,11810,95.7,96.1,80.4,7,175,6,0,134,26,0.83,1,0.03,58,34,26,6,23,14,9,21,2657,173,1036,1495,141,18,18,66.7,27.8,1642,3937,16,17,1,17,7,2013,6,27,17,1,3,140,57,35,62.0,1
