Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
Aaron Cresswell,ENG,West Ham,DF,35,14,7,589,0,0,2,0,0.1,1.1,4,24,2,0.00,0.00,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,355,80.7,6769,90.8,85.9,54.9,7,40,4,1,24,12,1.83,0,0.00,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,388,4,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8
Aaron Ramsdale,ENG,Southampton,GK,26,27,27,2430,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.30,67.1,7.4,28.6,N/a,0.00,N/a,N/a,712,64.4,19961,99.5,96.1,38.4,0,32,1,0,0,3,0.11,0,0.00,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2156,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27,32,31,2794,2,2,1,0,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.3,1277,81.1,18273,90.0,82.0,47.4,29,89,30,11,125,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,3303,98,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1
Abdoulaye Doucouré,MLI,Everton,MF,32,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.00,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,UZB,Manchester City,DF,21,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.00,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,21,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,ENG,Southampton,"FW,MF",28,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,ENG,Southampton,MF,36,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.50,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,ENG,Bournemouth,DF,34,22,17,1409,0,0,6,0,0.7,0.3,12,40,31,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0
Adam Webster,ENG,Brighton,DF,30,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,7934,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
Adam Wharton,ENG,Crystal Palace,MF,20,19,15,1258,0,2,2,0,0.3,3.0,14,105,10,0.00,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4
Adama Traoré,ESP,Fulham,"FW,MF",29,33,16,1592,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,29.7,0.62,0.05,14.3,385,71.8,5992,81.4,73.4,53.1,38,32,32,17,61,75,4.24,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,92,50.0,38.0,489,2262,89,42,33,34,20,556,145,20,29,1,92,78,24,26,48.0
Albert Grønbaek,DEN,Southampton,"FW,MF",23,4,2,143,0,0,0,0,0.1,0.0,1,1,3,0.00,0.00,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.4,13,72.2,135,81.8,50.0,N/a,1,2,0,0,1,2,1.26,0,0.00,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20,33,22,2056,5,1,2,0,7.0,3.6,134,54,274,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,1.23,0.06,17.1,600,79.1,8376,89.0,82.9,57.4,30,20,22,3,54,74,3.24,4,0.18,28,18,34,23,19,0,19,13,1078,13,120,340,636,164,85,30.6,60.0,783,3035,134,70,65,61,47,829,274,11,40,10,50,103,3,23,11.5
Alex Iwobi,NGA,Fulham,"FW,MF",29,35,33,2796,9,6,1,0,4.6,6.8,135,199,224,0.29,0.19,0.15,0.22,N/a,N/a,N/a,N/a,44.4,0.90,0.14,18.2,1056,74.4,18120,85.8,77.7,53.8,56,107,78,17,199,115,3.70,16,0.52,39,23,30,11,25,1,24,12,1724,31,228,691,831,109,87,49.4,44.8,1216,4091,135,102,37,55,38,1344,224,17,17,5,120,126,6,31,16.2
Alex McCarthy,ENG,Southampton,GK,35,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.60,70.3,0.0,0.0,N/a,0.00,N/a,N/a,117,75.0,2823,95.3,91.8,49.2,0,5,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0
Alex Palmer,ENG,Ipswich Town,GK,28,11,11,990,0,0,2,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,2.45,58.7,0.0,0.0,N/a,0.00,N/a,N/a,241,67.7,7340,95.8,100.0,43.8,1,7,0,0,1,2,0.18,0,0.00,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,604,0,0,0,1,0,132,0,1,2,0,0,15,4,0,100.0
Alex Scott,ENG,Bournemouth,MF,21,18,7,709,0,0,2,0,0.7,0.8,15,49,33,0.00,0.00,0.08,0.11,N/a,N/a,N/a,N/a,38.5,0.63,0.00,20.0,265,83.1,4257,88.5,91.9,60.6,11,37,4,0,49,28,3.55,2,0.25,26,13,40,22,17,4,13,10,456,22,84,245,133,18,26,23.1,50.0,238,640,15,9,3,22,8,274,33,13,26,0,6,50,7,7,50.0
Alexander Isak,SWE,Newcastle Utd,FW,25,31,31,2487,22,6,1,0,19.0,4.0,77,77,196,0.80,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,459,74.0,6537,83.2,77.5,62.2,38,32,26,1,77,85,3.08,14,0.51,12,5,12,7,18,2,16,3,933,20,54,348,545,175,88,47.7,50.0,558,1723,77,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2
Alexis Mac Allister,ARG,Liverpool,MF,26,33,30,2553,5,4,6,0,2.8,4.4,34,170,78,0.18,0.14,0.10,0.16,N/a,N/a,N/a,N/a,34.2,0.46,0.13,18.1,1245,83.4,19843,90.1,88.3,55.2,43,118,34,2,170,118,4.16,14,0.49,95,58,101,46,60,6,54,22,1827,55,279,944,624,60,42,38.1,50.0,893,1924,34,41,5,31,22,1203,78,60,39,2,84,145,19,34,35.8
Ali Al Hamadi,IRQ,Ipswich Town,FW,23,11,0,134,0,0,3,0,0.4,0.1,4,3,14,0.00,0.00,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,25,83.3,278,87.0,71.4,N/a,2,0,0,0,3,8,5.37,0,0.00,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7
Alisson,BRA,Liverpool,GK,32,24,24,2148,0,0,0,0,0.0,0.6,0,0,0,0.00,0.00,0.00,0.02,0.84,71.8,37.5,N/a,N/a,0.00,N/a,N/a,630,83.1,13996,98.9,98.5,47.8,1,10,0,0,0,6,0.25,1,0.04,1,0,1,1,0,0,0,0,801,577,786,15,0,0,1,100.0,0.0,509,1152,0,0,0,1,0,485,0,0,2,0,0,41,6,0,100.0
Alphonse Areola,FRA,West Ham,GK,32,23,22,1990,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.72,63.1,18.2,N/a,N/a,0.00,N/a,N/a,615,70.4,16400,99.3,95.2,43.4,0,9,0,0,0,3,0.14,0,0.00,2,2,3,1,0,0,0,0,927,740,918,10,0,0,0,N/a,N/a,530,1174,0,0,0,0,0,481,0,0,0,0,0,27,2,0,100.0
Amad Diallo,CIV,Manchester Utd,"FW,MF",22,22,17,1594,6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,53,80,4.52,16,0.90,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5
Amadou Onana,BEL,Aston Villa,MF,23,23,17,1378,3,0,4,0,2.1,0.3,21,60,14,0.20,0.00,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.39,0.18,14.7,606,88.5,9553,94.2,89.8,73.7,8,55,9,1,60,27,1.76,4,0.26,47,24,25,11,14,6,8,24,857,62,233,505,133,21,17,64.7,17.6,468,1289,21,20,1,10,9,579,14,30,24,0,1,66,27,18,60.0
Andreas Pereira,BRA,Fulham,MF,29,31,23,1879,2,4,7,0,3.5,4.5,27,99,78,0.10,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4
Andrew Robertson,SCO,Liverpool,DF,31,31,27,2308,0,0,3,1,1.0,4.1,58,165,95,0.00,0.00,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.00,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3
André,BRA,Wolves,MF,23,30,28,2249,0,0,7,0,0.4,0.7,8,95,11,0.00,0.00,0.02,0.03,N/a,N/a,N/a,N/a,11.1,0.04,0.00,25.3,1111,92.8,17503,95.3,95.4,80.0,15,101,4,0,95,45,1.80,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37.0,795,1440,8,14,0,27,17,973,11,34,32,0,0,176,2,6,25.0
André Onana,CMR,Manchester Utd,GK,29,33,33,2970,0,0,0,0,0.0,0.2,0,1,0,0.00,0.00,0.00,0.01,1.30,69.0,27.3,25.0,N/a,0.00,N/a,N/a,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,1,4,0.12,0,0.00,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,N/a,N/a,932,2615,0,0,0,1,0,810,0,0,2,0,0,33,6,0,100.0
Andrés García,ESP,Aston Villa,"DF,MF",22,7,5,318,0,0,0,0,0.0,0.2,26,15,28,0.00,0.00,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,26.6,174,86.6,2725,92.7,90.2,53.8,3,9,8,5,15,3,0.85,0,0.00,9,5,8,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,673,26,13,2,10,6,168,28,1,0,0,18,15,0,6,0.0
Andy Irving,SCO,West Ham,MF,24,10,1,166,0,0,2,0,0.1,0.2,0,9,4,0.00,0.00,0.06,0.13,N/a,N/a,N/a,N/a,50.0,1.08,0.00,26.2,109,87.9,1705,95.3,83.7,100.0,1,14,1,1,9,5,2.68,0,0.00,7,4,5,4,5,1,4,1,150,7,37,89,24,0,1,100.0,0.0,73,137,0,1,0,1,3,104,4,6,1,0,2,10,1,1,50.0
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23,34,27,2142,6,9,1,0,4.0,4.7,84,52,177,0.25,0.38,0.17,0.20,N/a,N/a,N/a,N/a,50.0,0.80,0.16,17.2,452,64.9,6511,83.3,63.1,33.6,43,27,24,7,52,87,3.66,14,0.59,17,12,16,12,11,1,10,5,953,29,127,276,566,94,75,30.7,46.7,509,2210,84,42,41,67,38,637,177,8,35,14,151,82,22,33,40.0
Anthony Gordon,ENG,Newcastle Utd,FW,24,30,25,2200,6,5,2,0,8.0,4.9,109,92,194,0.25,0.20,0.33,0.20,N/a,N/a,N/a,N/a,29.1,0.65,0.09,16.6,661,73.1,10125,86.1,77.7,42.2,50,59,50,16,92,98,4.01,12,0.49,31,17,34,22,24,2,22,6,1165,16,115,439,630,123,96,36.5,46.9,748,2978,109,55,55,28,35,838,194,19,62,8,120,92,5,7,41.7
Antoine Semenyo,GHA,Bournemouth,FW,25,34,33,2933,9,5,9,0,9.3,5.8,132,106,259,0.28,0.15,0.29,0.18,N/a,N/a,N/a,N/a,31.4,1.14,0.08,17.2,737,73.2,10554,84.7,76.5,38.6,45,48,44,8,106,123,3.77,13,0.40,53,34,42,26,59,8,51,10,1501,44,186,525,824,176,125,51.2,41.6,904,3408,132,65,65,78,72,1041,259,66,36,14,52,150,61,72,45.9
Antonee Robinson,USA,Fulham,DF,27,34,33,2989,0,10,8,0,0.7,4.1,111,123,265,0.00,0.30,0.02,0.12,N/a,N/a,N/a,N/a,12.5,0.06,0.00,22.1,1523,76.6,26059,86.7,79.0,56.4,42,113,54,28,123,78,2.35,11,0.33,90,57,89,45,37,7,30,57,2404,129,765,911,763,67,78,43.6,42.3,1278,4040,111,59,29,42,18,1441,265,31,17,6,165,148,45,25,64.3
Antony,BRA,Manchester Utd,"DF,MF",25,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.00,0.00,0.65,0.08,N/a,N/a,N/a,N/a,50.0,1.91,0.00,15.8,56,81.2,688,88.2,64.3,100.0,3,1,5,2,6,8,5.11,0,0.00,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,69,7,2,5,0,5,11,0,1,0.0
Antonín Kinský,CZE,Tottenham,GK,22,4,4,360,0,0,0,0,0.0,0.1,1,1,0,0.00,0.00,0.00,0.02,1.75,56.3,25.0,N/a,N/a,0.00,N/a,N/a,116,80.0,2699,100.0,96.1,47.9,1,2,0,0,1,1,0.25,0,0.00,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,267,1,0,0,0,0,98,0,0,0,0,0,4,2,0,100.0
Archie Gray,ENG,Tottenham,"DF,MF",19,24,15,1391,0,0,0,0,0.0,0.1,5,32,15,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.00,24.6,912,88.6,15954,92.6,92.9,60.7,2,37,0,0,32,5,0.32,0,0.00,12,6,16,10,19,10,9,12,1138,134,546,520,82,2,10,50.0,40.0,798,1496,5,5,0,9,10,860,15,9,11,0,12,57,9,8,52.9
Arijanet Muric,KVX,Ipswich Town,GK,26,18,18,1620,0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.83,70.0,5.6,0.0,N/a,0.00,N/a,N/a,454,71.7,11705,100.0,97.3,40.6,0,14,0,0,1,1,0.06,0,0.00,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,321,0,0,4,0,0,26,11,1,91.7
Armando Broja,ALB,Everton,FW,23,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.00,0.00,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,17.3,53,72.6,594,77.8,83.3,66.7,4,3,0,0,2,7,1.89,0,0.00,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,12,8,3,16,13,94,26,6,4,3,1,9,18,21,46.2
Armel Bella Kotchap,GER,Southampton,DF,23,4,2,331,0,0,0,0,0.3,0.0,0,5,0,0.00,0.00,0.09,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,9.1,202,90.2,3829,98.5,96.7,55.2,0,6,0,0,5,2,0.54,0,0.00,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,0,1,0,192,0,3,2,0,0,19,6,5,54.5
Ashley Young,ENG,Everton,"DF,FW",39,29,17,1622,1,3,6,1,0.3,1.6,20,83,27,0.06,0.17,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,610,69.9,11228,88.0,76.0,40.3,19,72,18,9,83,38,2.11,6,0.33,51,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,33.3,46.7,415,1214,20,24,1,8,1,535,27,25,18,0,66,61,10,11,47.6
Axel Disasi,FRA,Aston Villa,DF,27,7,5,490,0,0,2,0,0.1,0.4,10,16,5,0.00,0.00,0.02,0.07,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.5,243,86.8,4080,94.5,89.7,53.3,3,14,3,0,16,9,1.65,0,0.00,8,5,7,4,4,1,3,5,334,32,130,178,29,6,15,60.0,40.0,207,621,10,8,2,3,2,223,5,3,2,2,1,15,8,6,57.1
Axel Disasi,FRA,Chelsea,DF,27,6,4,364,1,0,1,0,0.3,0.1,6,16,2,0.25,0.00,0.07,0.02,N/a,N/a,N/a,N/a,50.0,0.25,0.50,12.3,266,90.8,4218,94.4,92.9,69.2,2,20,2,0,16,2,0.49,0,0.00,7,4,11,5,4,1,3,2,323,17,110,175,40,2,1,100.0,0.0,196,519,6,3,0,1,3,242,2,2,0,0,0,15,5,2,71.4
Axel Tuanzebe,COD,Ipswich Town,DF,27,19,17,1446,0,1,5,1,0.2,0.3,9,46,8,0.00,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,538,83.0,8269,91.1,81.8,56.1,4,50,3,0,46,11,0.68,2,0.12,29,17,24,8,18,9,9,21,793,89,343,348,108,6,10,40.0,60.0,339,727,9,6,1,11,1,410,8,13,11,0,6,43,16,16,50.0
Ayden Heaven,ENG,Manchester Utd,DF,18,2,1,95,0,0,0,0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,40,81.6,695,82.4,88.9,33.3,0,2,0,0,2,2,1.89,0,0.00,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100.0,0.0,42,122,1,1,0,2,1,40,1,2,3,0,0,4,1,2,33.3
Bart Verbruggen,NED,Brighton,GK,22,32,32,2880,0,1,5,0,0.0,0.0,0,2,0,0.00,0.03,0.00,0.00,1.69,63.3,18.8,0.0,N/a,0.00,N/a,N/a,919,78.0,21660,99.2,98.2,47.2,1,17,1,0,2,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1258,999,1245,13,0,0,2,100.0,0.0,853,1588,0,1,1,2,0,815,0,0,2,0,0,58,10,1,90.9
Ben Brereton,CHI,Southampton,FW,26,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.00,0.00,0.18,0.02,N/a,N/a,N/a,N/a,9.1,0.20,0.00,17.3,128,77.1,1836,87.4,67.9,63.6,3,9,2,1,9,9,1.80,0,0.00,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,12,13,4,9,4,171,42,4,8,1,5,16,9,7,56.3
Ben Chilwell,ENG,Crystal Palace,DF,28,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.00,0.00,0.05,0.13,N/a,N/a,N/a,N/a,50.0,0.65,0.00,27.6,45,65.2,618,83.9,64.0,11.1,2,4,2,0,3,3,1.93,0,0.00,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,2,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0
Ben Davies,WAL,Tottenham,DF,32,13,11,1036,0,0,3,0,0.3,0.2,13,49,6,0.00,0.00,0.02,0.02,N/a,N/a,N/a,N/a,20.0,0.09,0.00,17.0,745,89.4,13969,93.4,94.7,65.3,2,41,2,0,49,8,0.69,0,0.00,13,9,13,7,23,15,8,11,965,169,502,419,44,12,1,100.0,0.0,558,1633,13,9,0,4,0,653,6,12,5,0,4,34,41,35,53.9
Ben Godfrey,ENG,Ipswich Town,DF,27,3,2,159,0,0,1,0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,47,82.5,657,90.9,88.9,N/a,0,5,1,0,4,1,0.57,0,0.00,1,0,1,0,1,1,0,2,68,6,26,33,9,1,0,N/a,N/a,33,79,2,2,0,2,1,42,1,1,0,0,0,2,3,0,100.0
Ben Johnson,ENG,Ipswich Town,"DF,FW",25,22,14,1348,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.20,0.14,12.6,296,71.5,4812,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,27,6,1,37,57,19,18,51.4
Ben Mee,ENG,Brentford,DF,35,7,2,183,0,0,2,0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,93,77.5,1751,89.5,85.0,40.0,0,10,0,0,11,0,0.00,0,0.00,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,274,3,1,1,0,0,86,2,5,0,0,0,11,5,5,50.0
Ben White,ENG,Arsenal,DF,27,14,10,941,0,1,2,0,0.4,0.8,11,44,28,0.00,0.10,0.04,0.08,N/a,N/a,N/a,N/a,14.3,0.10,0.00,19.1,449,83.6,7269,92.4,84.6,48.9,7,39,8,1,44,16,1.53,1,0.10,13,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0.0,75.0,292,625,11,11,3,8,4,375,28,8,4,1,10,26,15,5,75.0
Benoît Badiashile,FRA,Chelsea,DF,24,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,273,89.8,4820,93.3,93.8,65.6,0,37,1,0,17,0,0.00,0,0.00,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,3,5,0,1,0,247,2,6,2,0,0,18,8,2,80.0
Bernardo Silva,POR,Manchester City,"MF,FW",30,30,26,2401,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,N/a,N/a,N/a,N/a,35.7,0.37,0.11,12.9,1370,87.1,20876,92.2,88.4,66.7,47,75,33,7,115,83,3.11,8,0.30,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,3650,94,60,31,21,32,1346,184,26,29,3,54,93,5,10,33.3
Bernd Leno,GER,Fulham,GK,33,35,35,3150,0,1,4,0,0.0,0.1,0,0,0,0.00,0.03,0.00,0.00,1.34,68.3,14.3,0.0,N/a,0.00,N/a,N/a,1059,81.5,25910,99.5,98.9,47.6,2,16,2,0,0,5,0.14,2,0.06,2,2,2,0,1,0,1,0,1363,1096,1353,10,0,0,0,N/a,N/a,888,2017,0,0,0,0,0,797,0,0,3,0,0,49,9,0,100.0
Beto,GNB,Everton,FW,27,27,12,1268,7,0,2,0,6.6,0.8,12,10,66,0.50,0.00,0.47,0.06,N/a,N/a,N/a,N/a,50.0,1.42,0.18,13.2,124,57.1,1676,67.9,50.0,87.5,8,5,4,1,10,17,1.21,0,0.00,14,6,8,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,390,12,9,9,59,33,309,66,30,18,14,3,30,78,92,45.9
Bilal El Khannouss,MAR,Leicester City,MF,20,30,25,2003,2,3,4,0,1.2,3.9,72,119,83,0.09,0.13,0.05,0.18,N/a,N/a,N/a,N/a,21.4,0.27,0.07,22.3,735,75.2,13071,86.1,80.6,57.0,36,83,28,6,119,66,2.97,5,0.22,46,26,28,13,21,4,17,6,1171,17,166,602,415,33,52,57.7,38.5,679,1938,72,42,13,36,36,788,83,28,11,1,83,84,19,20,48.7
Billy Gilmour,SCO,Brighton,MF,23,2,1,98,0,0,0,0,0.1,0.0,2,11,2,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,25.5,58,86.6,980,94.7,81.8,57.1,0,12,2,0,11,3,2.76,0,0.00,3,3,4,1,1,0,1,0,73,2,14,46,13,0,2,50.0,50.0,44,117,2,0,0,0,0,58,2,2,3,0,1,5,0,0,N/a
