Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
Trevoh Chalobah,ENG,Chelsea,DF,25,11,9,746,0,1,1,0,0.7,1.2,4,34,2,0.00,0.12,0.09,0.14,N/a,N/a,N/a,N/a,33.3,0.24,0.00,10.8,533,90.2,9186,94.8,94.8,56.7,3,37,3,0,34,12,1.45,3,0.36,7,4,6,1,4,2,2,7,668,55,279,340,54,11,3,33.3,0.0,374,696,4,2,0,3,2,501,2,6,5,0,3,25,22,10,68.8
Tyler Adams,USA,Bournemouth,MF,26,25,18,1710,0,3,7,0,1.6,1.0,12,65,9,0.00,0.16,0.08,0.05,N/a,N/a,N/a,N/a,25.0,0.11,0.00,16.1,755,83.6,11854,88.6,87.9,54.7,16,57,2,1,65,37,1.95,4,0.21,75,46,66,31,33,10,23,32,1149,53,307,660,194,17,16,18.8,56.3,553,1183,12,17,1,27,12,629,9,41,19,0,3,100,29,17,63.0
Tyler Dibling,ENG,Southampton,"FW,MF",19,31,18,1742,2,0,6,0,2.5,1.5,68,61,93,0.10,0.00,0.13,0.08,N/a,N/a,N/a,N/a,32.1,0.46,0.07,19.3,472,80.7,7050,90.2,85.1,43.5,20,25,20,1,61,56,2.89,4,0.21,34,20,26,10,19,5,14,8,822,25,110,372,359,41,103,42.7,36.9,532,2129,68,49,26,41,53,617,93,28,49,2,28,75,10,21,32.3
Tyrell Malacia,NED,Manchester Utd,DF,25,3,2,100,0,0,1,0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,49,89.1,642,93.9,92.9,100.0,1,7,1,0,3,2,1.80,0,0.00,2,1,2,1,0,0,0,1,62,2,20,27,15,0,1,100.0,0.0,37,118,3,2,0,1,2,43,6,3,2,0,1,3,0,0,N/a
Tyrick Mitchell,ENG,Crystal Palace,DF,25,34,34,2852,0,4,2,0,1.2,5.6,56,62,160,0.00,0.13,0.04,0.18,N/a,N/a,N/a,N/a,18.2,0.06,0.00,13.4,904,72.2,14514,84.3,74.5,42.3,37,45,31,14,62,66,2.08,5,0.16,85,52,41,20,62,12,50,14,1614,104,560,615,452,42,31,41.9,48.4,742,1555,56,33,9,35,28,827,160,20,22,2,97,152,18,21,46.2
Tyrique George,ENG,Chelsea,FW,19,7,0,103,1,1,1,0,0.2,0.7,9,2,18,0.87,0.87,0.17,0.63,N/a,N/a,N/a,N/a,33.3,0.87,0.33,15.0,38,82.6,494,91.3,82.4,0.0,5,0,1,0,2,6,5.24,1,0.87,2,0,3,1,0,0,0,1,56,1,10,14,33,8,4,75.0,25.0,38,208,9,1,5,1,0,44,18,2,0,1,3,3,0,3,0.0
Tyrone Mings,ENG,Aston Villa,DF,32,13,11,1051,0,0,1,0,0.8,0.2,6,39,0,0.00,0.00,0.07,0.02,N/a,N/a,N/a,N/a,11.1,0.09,0.00,11.8,581,88.6,10405,92.7,94.3,54.0,3,47,5,0,39,17,1.45,2,0.17,6,5,2,0,13,11,2,7,767,139,388,340,43,15,2,100.0,0.0,472,1333,6,12,0,3,1,523,0,3,9,0,1,33,26,21,55.3
Valentino Livramento,ENG,Newcastle Utd,DF,22,33,28,2480,0,1,1,0,0.2,2.3,72,136,91,0.00,0.04,0.01,0.08,N/a,N/a,N/a,N/a,20.0,0.04,0.00,20.6,1228,85.0,18159,90.7,86.3,56.4,21,94,23,5,136,39,1.42,2,0.07,50,33,54,25,33,10,23,21,1728,105,553,796,404,32,48,43.8,41.7,900,2878,72,37,11,25,34,994,91,6,32,2,44,170,22,30,42.3
Victor Bernth Kristiansen,DEN,Leicester City,DF,22,28,28,2380,0,1,1,0,0.3,1.4,39,69,75,0.00,0.04,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,17.7,1007,77.6,16181,89.6,80.1,41.4,18,74,23,18,69,41,1.55,3,0.11,85,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,47.1,47.1,800,1806,39,25,5,13,12,872,75,17,17,3,96,97,19,42,31.1
Victor Lindelöf,SWE,Manchester Utd,DF,30,12,4,470,0,0,1,0,0.0,0.1,1,9,1,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,196,93.8,3139,92.2,97.2,75.0,3,6,2,1,9,4,0.77,0,0.00,5,1,3,1,4,2,2,7,264,40,156,101,7,3,0,N/a,N/a,137,255,1,0,0,1,0,171,1,7,1,0,1,11,10,13,43.5
